Geneid	Genename	Type
ENSG00000099284.15	MACROH2A2	RIH
ENSG00000101812.15	H2BW2	RIH
ENSG00000105968.19	H2AZ2	RIH
ENSG00000113648.17	MACROH2A1	RIH
ENSG00000115163.15	CENPA	RIH
ENSG00000123569.10	H2BW1	RIH
ENSG00000124575.7	H1-3	RDH
ENSG00000124610.5	H1-1	RDH
ENSG00000124635.9	H2BC11	RDH
ENSG00000132475.10	H3-3B	RIH
ENSG00000146047.7	H2BC1	RDH
ENSG00000158373.9	H2BC5	RDH
ENSG00000158406.6	H4C8	RDH
ENSG00000163041.13	H3-3A	RIH
ENSG00000164032.12	H2AZ1	RIH
ENSG00000164508.6	H2AC1	RDH
ENSG00000168148.4	H3-4	RDH
ENSG00000168298.7	H1-4	RDH
ENSG00000178458.5	H3P16	RIH
ENSG00000178762.5	H2BC2P	RDH
ENSG00000178804.8	H1-8	RIH
ENSG00000180573.10	H2AC6	RDH
ENSG00000180596.9	H2BC4	RDH
ENSG00000181201.4	H2BC27P	RDH
ENSG00000181218.6	H2AC25	RDH
ENSG00000183598.4	H3C13	RDH
ENSG00000184260.6	H2AC20	RDH
ENSG00000184270.6	H2AC21	RDH
ENSG00000184357.5	H1-5	RDH
ENSG00000184678.11	H2BC21	RDH
ENSG00000184897.7	H1-10	RIH
ENSG00000185130.6	H2BC13	RDH
ENSG00000187166.1	H1-7	RIH
ENSG00000187475.6	H1-6	RDH
ENSG00000187516.7	H2AP	RIH
ENSG00000187837.4	H1-2	RDH
ENSG00000188375.5	H3-5	RIH
ENSG00000188486.4	H2AX	RIH
ENSG00000188662.8	H1-9P	RIH
ENSG00000189060.6	H1-0	RIH
ENSG00000196747.5	H2AC13	RDH
ENSG00000196787.4	H2AC11	RDH
ENSG00000196866.3	H2AC7	RDH
ENSG00000196890.5	H2BC26	RDH
ENSG00000197061.5	H4C3	RDH
ENSG00000197153.5	H3C12	RDH
ENSG00000197238.5	H4C11	RDH
ENSG00000197409.8	H3C4	RDH
ENSG00000197837.4	H4C16	RDH
ENSG00000197903.8	H2BC12	RDH
ENSG00000203811.2	H3C14	RDH
ENSG00000288825.1	H2AC18	RDH
ENSG00000203814.7	H2BC18	RDH
ENSG00000203852.4	H3C15	RDH
ENSG00000216331.2	H1-12P	RDH
ENSG00000216436.2	H2AC2P	RDH
ENSG00000217646.1	H2BC16P	RDH
ENSG00000217862.2	H4C10P	RDH
ENSG00000218281.1	H2AC9P	RDH
ENSG00000218690.3	H2AC10P	RDH
ENSG00000220323.5	H2BC19P	RDH
ENSG00000220875.1	H3C9P	RDH
ENSG00000223497.1	H2BL1P	RIH
ENSG00000226881.5	H3P44	RIH
ENSG00000229674.3	H2AL3	RIH
ENSG00000233822.6	H2BC15	RDH
ENSG00000234289.6	H2BC12L	RIH
ENSG00000234816.2	H2AC5P	RDH
ENSG00000235946.2	H2BW3P	RIH
ENSG00000242387.1	H2AC3P	RDH
ENSG00000246705.5	H2AJ	RIH
ENSG00000249467.2	H2AL1Q	RIH
ENSG00000261716.3	H2BC20P	RDH
ENSG00000268799.4	H3Y2	RIH
ENSG00000269466.4	H3Y1	RIH
ENSG00000270276.3	H4C15	RDH
ENSG00000270882.3	H4C14	RDH
ENSG00000288859.1	H2AC19	RDH
ENSG00000273213.4	H3-7	RIH
ENSG00000273542.2	H4C12	RDH
ENSG00000273703.2	H2BC14	RDH
ENSG00000273802.3	H2BC8	RDH
ENSG00000273983.2	H3C8	RDH
ENSG00000274183.2	H2AB1	RIH
ENSG00000274290.3	H2BC6	RDH
ENSG00000274618.2	H4C6	RDH
ENSG00000274641.2	H2BC17	RDH
ENSG00000274750.3	H3C6	RDH
ENSG00000274997.2	H2AC12	RDH
ENSG00000275126.2	H4C13	RDH
ENSG00000275221.2	H2AC15	RDH
ENSG00000275379.2	H3C11	RDH
ENSG00000275663.2	H4C7	RDH
ENSG00000275713.3	H2BC9	RDH
ENSG00000275714.2	H3C1	RDH
ENSG00000276180.2	H4C9	RDH
ENSG00000276368.2	H2AC14	RDH
ENSG00000276410.4	H2BC3	RDH
ENSG00000276903.2	H2AC16	RDH
ENSG00000276966.3	H4C5	RDH
ENSG00000277075.3	H2AC8	RDH
ENSG00000277157.2	H4C4	RDH
ENSG00000277224.3	H2BC7	RDH
ENSG00000277720.1	H3C5P	RDH
ENSG00000277745.1	H2AB3	RIH
ENSG00000277775.2	H3C7	RDH
ENSG00000277858.2	H2AB2	RIH
ENSG00000278463.2	H2AC4	RDH
ENSG00000278588.2	H2BC10	RDH
ENSG00000278637.2	H4C1	RDH
ENSG00000278677.2	H2AC17	RDH
ENSG00000278705.3	H4C2	RDH
ENSG00000278828.2	H3C10	RDH
ENSG00000285480.2	H2BK1	RIH
ENSG00000285944.2	H2AL1MP	RIH
ENSG00000285989.1	H2AQ1P	RIH
ENSG00000286522.2	H3C2	RDH
ENSG00000287080.2	H3C3	RDH
ENSG00000224447.1	H3P26	RDH
ENSG00000277410.1	H2BP5	RDH
