gene	gene_gencodeV33	gene_id	chromosome	pLI	LOEUF	case.ptv	control.ptv	case.misb	control.misb	case.misa	control.misa	case.mis	control.mis	case.syn	control.syn
MED13	MED13	ENSG00000108510	17	1	0.03	1	0	1	0	0	2	32	59	24	32
NIPBL	NIPBL	ENSG00000164190	5	1	0.032	0	0	9	3	16	13	24	43	30	42
SMC3	SMC3	ENSG00000108055	10	1	0.037	1	1	9	2	4	14	0	0	4	18
CNOT1	CNOT1	ENSG00000125107	16	1	0.038	0	0	4	5	13	28	8	23	20	39
RLF	RLF	ENSG00000117000	1	1	0.04	0	0	0	0	7	11	14	18	12	16
PCF11	PCF11	ENSG00000165494	11	1	0.04	0	0	2	2	2	0	16	23	10	16
FNDC3B	FNDC3B	ENSG00000075420	3	1	0.042	0	0	0	0	1	1	24	39	4	20
RSF1	RSF1	ENSG00000048649	11	1	0.044	0	0	0	5	7	5	32	38	5	19
NCKAP1	NCKAP1	ENSG00000061676	2	1	0.044	0	0	2	1	4	11	4	9	6	12
KDM2A	KDM2A	ENSG00000173120	11	1	0.045	1	1	2	1	7	11	10	11	11	20
BRD4	BRD4	ENSG00000141867	19	1	0.048	0	0	0	0	9	17	5	27	16	22
HELZ	HELZ	ENSG00000198265	17	1	0.048	0	0	0	0	6	10	18	39	18	23
FBN1	FBN1	ENSG00000166147	15	1	0.049	0	0	0	4	3	17	0	16	4	19
XPO1	XPO1	ENSG00000082898	2	1	0.051	0	0	0	1	2	6	0	0	4	9
PRR12	PRR12	ENSG00000126464	19	1	0.051	1	0	0	0	5	6	1	9	8	15
SYNGAP1	SYNGAP1	ENSG00000197283	6	1	0.052	4	0	12	13	8	8	0	1	21	32
PRKDC	PRKDC	ENSG00000253729	8	1	0.052	0	0	0	0	0	0	54	123	22	43
HDAC4	HDAC4	ENSG00000068024	2	1	0.052	0	0	0	1	6	11	13	17	18	24
SMG1	SMG1	ENSG00000157106	16	1	0.053	0	1	0	0	11	16	38	53	27	48
ZC3H4	ZC3H4	ENSG00000130749	19	1	0.054	0	0	0	0	6	8	8	21	9	17
COL5A1	COL5A1	ENSG00000130635	9	1	0.055	0	0	0	0	2	7	31	73	31	43
SMARCA4	SMARCA4	ENSG00000127616	19	1	0.055	1	1	11	7	6	10	6	8	24	32
TNPO1	TNPO1	ENSG00000083312	5	1	0.056	0	0	1	1	3	8	3	5	9	9
AGO1	AGO1	ENSG00000092847	1	1	0.057	0	0	6	7	3	5	0	4	9	11
ARHGAP35	ARHGAP35	ENSG00000160007	19	1	0.057	1	0	0	0	10	25	11	19	13	18
LRP1	LRP1	ENSG00000123384	12	1	0.058	2	2	0	0	0	0	86	149	50	121
TOP1	TOP1	ENSG00000198900	20	1	0.059	0	0	0	2	3	7	4	3	12	12
TRIP12	TRIP12	ENSG00000153827	2	1	0.06	1	0	0	2	16	18	24	21	14	34
KMT2E	KMT2E	ENSG00000005483	7	1	0.06	1	0	0	0	5	7	30	59	14	30
UBTF	UBTF	ENSG00000108312	17	1	0.06	1	0	2	3	2	7	3	3	9	13
KDM3B	KDM3B	ENSG00000120733	5	1	0.06	0	0	4	2	11	23	11	28	13	36
TRRAP	TRRAP	ENSG00000196367	7	1	0.06	1	0	3	15	33	47	27	47	63	78
GRIN2B	GRIN2B	ENSG00000273079	12	1	0.061	6	0	12	7	9	13	6	11	14	38
USP7	USP7	ENSG00000187555	16	1	0.061	1	1	2	3	4	9	1	8	19	21
ATP1A3	ATP1A3	ENSG00000105409	19	1	0.062	0	1	13	11	4	9	3	2	18	37
ASH1L	ASH1L	ENSG00000116539	1	1	0.062	1	0	5	7	12	22	71	88	31	33
ANKRD17	ANKRD17	ENSG00000132466	4	1	0.062	0	0	5	8	6	7	32	44	15	38
NPEPPS	NPEPPS	ENSG00000141279	17	1	0.062	0	1	0	0	5	0	5	4	2	5
CHERP	CHERP	ENSG00000085872	19	1	0.062	0	0	2	7	9	13	2	4	7	10
MED13L	MED13L	ENSG00000123066	12	1	0.064	0	0	4	3	7	12	27	52	26	38
RPRD2	RPRD2	ENSG00000163125	1	1	0.064	0	0	0	0	3	3	33	47	16	25
KMT2A	KMT2A	ENSG00000118058	11	1	0.065	1	1	14	11	32	39	29	42	27	47
CREBBP	CREBBP	ENSG00000005339	16	1	0.066	2	2	3	3	9	10	30	55	40	50
SF3B1	SF3B1	ENSG00000115524	2	1	0.066	0	0	1	3	7	8	0	2	7	24
EIF3B	EIF3B	ENSG00000106263	7	1	0.067	0	0	0	3	2	5	7	10	9	19
PPFIA1	PPFIA1	ENSG00000131626	11	1	0.067	0	0	0	0	1	2	12	35	9	22
ZSWIM6	ZSWIM6	ENSG00000130449	5	1	0.067	0	0	0	0	0	0	0	0	0	0
PRPF3	PRPF3	ENSG00000117360	1	1	0.068	0	0	1	3	5	2	4	4	2	11
KAT6A	KAT6A	ENSG00000083168	8	1	0.069	1	0	0	2	5	5	24	51	14	26
KMT2B	KMT2B	ENSG00000272333	19	1	0.07	0	0	9	3	4	7	13	32	19	44
SIN3A	SIN3A	ENSG00000169375	15	1	0.07	1	0	5	4	11	20	14	7	10	17
CHD2	CHD2	ENSG00000173575	15	1	0.07	2	0	11	3	6	13	23	31	12	21
ARID1A	ARID1A	ENSG00000117713	1	1	0.071	0	1	0	0	7	17	36	65	29	42
GLTSCR1L	BICRAL	ENSG00000112624	6	1	0.071	1	0	0	0	2	2	23	29	13	21
SCN1A	SCN1A	ENSG00000144285	2	1	0.071	0	0	8	5	25	36	14	14	17	39
TJP1	TJP1	ENSG00000104067	15	1	0.071	2	1	0	0	12	5	31	59	15	31
SPEN	SPEN	ENSG00000065526	1	1	0.071	1	1	4	8	4	16	58	88	34	56
WDFY3	WDFY3	ENSG00000163625	4	1	0.071	4	0	4	4	15	27	32	64	27	65
EHMT1	EHMT1	ENSG00000181090	9	1	0.072	3	0	1	3	7	17	12	40	22	27
JMJD1C	JMJD1C	ENSG00000171988	10	1	0.072	0	0	1	2	5	5	53	80	16	45
MAP3K12	MAP3K12	ENSG00000139625	12	1	0.072	0	1	3	5	5	4	10	13	13	16
GGNBP2	GGNBP2	ENSG00000005955	17	1	0.073	1	0	0	3	1	5	3	10	6	9
TLE3	TLE3	ENSG00000140332	15	1	0.073	2	0	1	7	5	11	11	4	6	11
CHD6	CHD6	ENSG00000124177	20	1	0.073	2	0	12	10	3	13	37	44	20	32
UBR5	UBR5	ENSG00000104517	8	1	0.073	0	1	5	7	24	45	2	19	16	38
EIF4G1	EIF4G1	ENSG00000114867	3	1	0.074	0	0	2	3	12	25	29	46	17	24
NBEA	NBEA	ENSG00000172915	13	1	0.074	0	1	1	1	8	4	15	40	11	36
SMARCA5	SMARCA5	ENSG00000153147	4	1	0.074	0	0	2	1	7	6	1	1	7	5
TSC2	TSC2	ENSG00000103197	16	1	0.074	0	0	0	0	0	0	5	37	9	25
SUPT5H	SUPT5H	ENSG00000196235	19	1	0.074	0	0	3	10	3	15	6	9	12	32
GREB1L	GREB1L	ENSG00000141449	18	1	0.075	0	0	0	0	0	0	0	0	0	0
PTCH1	PTCH1	ENSG00000185920	9	1	0.075	1	1	0	0	15	13	23	27	17	39
CHD7	CHD7	ENSG00000171316	8	1	0.076	0	0	1	1	17	20	30	66	23	51
RAD54L2	RAD54L2	ENSG00000164080	3	1	0.076	0	0	1	0	8	11	23	25	17	28
CNOT3	CNOT3	ENSG00000088038	19	1	0.076	1	0	6	5	1	1	7	9	3	10
AHDC1	AHDC1	ENSG00000126705	1	1	0.076	1	0	0	0	15	22	8	12	12	16
U2SURP	U2SURP	ENSG00000163714	3	1	0.077	0	0	1	2	2	3	3	9	9	6
RBM25	RBM25	ENSG00000119707	14	1	0.077	0	0	3	4	6	11	5	5	11	12
GIGYF2	GIGYF2	ENSG00000204120	2	1	0.077	0	0	0	0	4	10	13	28	9	11
MBTD1	MBTD1	ENSG00000011258	17	1	0.077	0	0	0	1	0	7	1	5	0	2
DCAF5	DCAF5	ENSG00000139990	14	1	0.078	1	0	4	3	2	4	10	21	9	23
SUV420H1	KMT5B	ENSG00000110066	11	1	0.078	1	0	0	2	3	1	19	22	8	14
RABGAP1	RABGAP1	ENSG00000011454	9	1	0.078	1	1	0	0	9	15	12	9	6	6
KHSRP	KHSRP	ENSG00000088247	19	1	0.078	0	0	5	4	3	4	0	2	6	5
TM9SF2	TM9SF2	ENSG00000125304	13	1	0.079	0	0	0	0	4	7	6	8	4	10
MATR3	MATR3	ENSG00000015479	5	1	0.079	0	0	4	5	4	8	5	6	7	10
PHF21A	PHF21A	ENSG00000135365	11	1	0.08	0	0	1	2	3	5	1	7	3	9
NAV1	NAV1	ENSG00000134369	1	1	0.08	0	0	4	6	21	28	9	9	18	28
HIVEP2	HIVEP2	ENSG00000010818	6	1	0.08	1	0	1	1	0	0	60	72	36	51
RBBP6	RBBP6	ENSG00000122257	16	1	0.08	0	1	3	4	0	2	30	53	19	22
GTPBP4	GTPBP4	ENSG00000107937	10	1	0.08	0	0	0	0	0	0	17	34	4	5
MYBL1	MYBL1	ENSG00000185697	8	1	0.08	0	0	0	0	0	0	13	17	11	10
DYNC1H1	DYNC1H1	ENSG00000197102	14	1	0.08	5	0	28	23	56	47	6	14	60	90
SBNO1	SBNO1	ENSG00000139697	12	1	0.081	0	1	2	1	3	7	7	12	15	22
PRKCB	PRKCB	ENSG00000166501	16	1	0.081	0	0	4	3	4	15	0	1	4	8
INO80	INO80	ENSG00000128908	15	1	0.081	0	0	3	5	13	18	10	31	13	19
TAF4	TAF4	ENSG00000130699	20	1	0.081	0	0	0	1	9	13	3	11	6	12
TRIM28	TRIM28	ENSG00000130726	19	1	0.082	0	0	0	0	1	5	12	18	9	18
CHD8	CHD8	ENSG00000100888	14	1	0.082	2	0	10	3	10	14	19	32	15	34
RBM33	RBM33	ENSG00000184863	7	1	0.082	0	0	0	0	2	2	19	25	7	15
SNRNP200	SNRNP200	ENSG00000144028	2	1	0.082	0	2	10	23	12	27	9	9	13	33
XPO6	XPO6	ENSG00000169180	16	1	0.082	0	2	0	0	15	24	6	26	25	33
SMARCAD1	SMARCAD1	ENSG00000163104	4	1	0.083	3	0	0	2	1	6	11	14	10	12
MACF1	MACF1	ENSG00000127603	1	1	0.084	2	2	6	2	15	25	94	168	45	71
WAC	WAC	ENSG00000095787	10	1	0.084	0	0	0	0	0	4	9	12	4	5
C17orf104	MEIOC	ENSG00000180336	17	1	0.084	0	0	0	0	0	0	7	23	3	4
ATP2B1	ATP2B1	ENSG00000070961	12	1	0.084	1	0	6	5	4	11	1	1	5	5
EIF4G2	EIF4G2	ENSG00000110321	11	1	0.085	1	0	0	0	0	0	30	16	2	3
ZNF462	ZNF462	ENSG00000148143	9	1	0.085	0	0	2	10	8	25	33	53	20	49
WDR26	WDR26	ENSG00000162923	1	1	0.085	0	0	2	1	8	5	0	0	6	5
TRIM33	TRIM33	ENSG00000197323	1	1	0.086	1	0	1	1	4	5	9	7	6	7
STXBP1	STXBP1	ENSG00000136854	9	1	0.086	0	0	4	4	2	8	0	0	10	18
TOPBP1	TOPBP1	ENSG00000163781	3	1	0.086	0	0	0	0	0	0	19	25	6	12
NF2	NF2	ENSG00000186575	22	1	0.086	0	0	0	0	1	6	0	1	3	4
TET3	TET3	ENSG00000187605	2	1	0.086	1	0	3	2	0	2	38	42	13	24
MN1	MN1	ENSG00000169184	22	0.99999	0.087	0	0	0	0	0	0	6	10	7	11
SUPT6H	SUPT6H	ENSG00000109111	17	1	0.087	0	0	4	3	18	23	12	33	17	24
RP11-762I7.5	AC023055.1	ENSG00000257390	12	1	0.087	0	0	0	0	0	0	0	0	0	0
MYT1L	MYT1L	ENSG00000186487	2	1	0.087	1	0	2	2	9	9	8	8	14	27
UBP1	UBP1	ENSG00000153560	3	0.99999	0.088	0	0	0	4	0	1	3	6	5	12
PLCL2	PLCL2	ENSG00000154822	3	0.99999	0.088	1	0	0	1	7	10	6	18	8	9
SPTBN1	SPTBN1	ENSG00000115306	2	1	0.088	2	0	5	5	16	26	22	45	27	59
MYH9	MYH9	ENSG00000100345	22	1	0.088	0	0	5	5	24	46	29	28	34	59
ZDHHC5	ZDHHC5	ENSG00000156599	11	0.99999	0.088	0	0	0	0	4	1	16	30	6	11
LUC7L3	LUC7L3	ENSG00000108848	17	0.99999	0.089	0	1	0	0	1	3	2	2	1	5
