gene_name	DDdenovo_syn	DDdenovo_mis	DDdenovo_stopgain	gnomAD_syn	gnomAD_mis	gnomAD_stopgain
ELOVL1	0	2	0	21	32	1
GSTZ1	0	0	0	26	55	3
B4GALT3	0	0	0	32	75	2
ZC3H11A	0	4	0	56	117	0
IFNGR1	2	0	0	40	75	1
OCIAD1	1	0	0	18	47	2
TRAM2	0	0	0	27	57	0
SLC22A2	1	4	0	61	145	1
ALOX15	0	2	0	72	141	8
OR8H3	0	0	0	33	72	1
GOLGA6C	0	0	0	6	20	1
POLR2C	0	1	0	28	27	3
TMEM114	0	0	0	36	74	0
ST8SIA3	0	1	0	33	50	2
ALK	0	5	1	193	317	6
SATB2	1	32	15	76	60	0
EEF2	1	11	0	209	102	0
SELPLG	0	0	1	40	89	2
SPATA4	0	0	0	28	53	3
DAAM1	0	2	1	93	169	5
C4orf45	0	1	0	19	45	3
C1R	0	2	0	67	113	4
MTX2	0	0	0	16	48	4
ZNF197	2	1	0	68	157	9
FRAS1	2	5	0	368	860	22
DHRS7B	0	0	0	28	58	2
PGGHG	1	2	0	117	188	5
P3H2	0	1	0	75	184	9
ZBTB7B	2	2	0	66	79	1
PRKAG3	0	0	0	53	122	1
TBL2	0	2	0	49	95	2
REXO4	0	0	0	45	95	4
CHURC1	0	0	0	7	24	2
C1orf198	0	1	0	43	67	2
FBXO3	0	1	0	32	58	4
NSUN5	0	0	0	55	108	6
POLE	4	9	0	281	540	18
ZFYVE19	1	2	0	44	102	10
RPRD2	2	3	0	114	227	1
CPT1C	0	1	0	83	174	5
EYS	1	2	0	255	650	39
CLK1	0	1	0	38	85	2
PYURF	0	0	0	11	26	1
LARP6	3	1	0	62	92	1
ERLEC1	1	2	0	35	87	1
SCARF1	0	1	0	0	0	0
NELL2	3	2	0	59	144	3
GFOD1	1	4	0	47	47	2
ZNF398	1	0	0	62	130	1
DHCR24	0	3	0	56	73	1
ZNF214	0	0	0	43	124	3
ZFAT	1	5	0	157	272	0
DUSP8	0	0	0	0	0	0
G3BP2	0	5	0	28	42	1
RASA3	2	2	0	133	165	2
UBOX5	0	2	0	62	103	2
PDZRN3	1	0	0	156	258	4
NFATC2	2	3	0	137	177	3
CHUK	0	1	0	44	89	0
UNC5A	0	4	1	103	136	1
RNF175	0	0	1	33	77	4
POU6F1	1	0	0	67	127	2
DMKN	0	2	0	50	118	6
ENSG00000284691	0	0	0	41	59	0
NXPH1	0	0	0	31	48	1
FAAP20	0	0	0	19	46	3
BTBD16	3	0	0	65	118	6
LHX9	0	1	0	30	74	1
GZMK	0	0	0	22	56	3
RPP25L	0	0	0	15	29	1
ABHD12B	0	2	0	30	80	5
CDC37L1	0	0	0	21	68	2
PRPSAP2	1	0	0	32	44	2
C1orf141	1	1	0	32	64	3
GIT1	0	3	0	95	115	0
ENTPD4	0	0	0	65	145	10
KRT26	0	0	0	30	106	9
XCL1	0	0	0	10	23	1
POLR2A	2	7	1	295	178	1
CCM2	0	1	0	61	85	1
LRRC39	0	0	0	22	59	3
CERS3	0	0	0	41	75	1
RBL1	0	3	1	71	189	7
RUFY4	0	5	1	58	149	11
ASAP2	0	3	0	122	184	1
FAM90A18	0	0	0	0	0	0
AASDH	0	0	0	72	200	9
MINDY4	3	3	1	82	171	8
ENSG00000213204	0	1	0	47	112	10
USP6NL	1	2	0	70	157	3
