variable	phenotype	p_value	p_bonferroni	odds ratio (OR)	OR_ci_lower	OR_ci_upper	converged	case_have_variant_count	control_have_variant_count	case_no_variant_count	control_no_variant_count	sex
stem-loop	Spontaneous abortion	0.019032	0.114195	1.694943	1.090897	2.635308	TRUE	21	1997	1043	176756	1
stem-loop	Male infertility	0.81232	1	1.112995	0.459783	2.693927	TRUE	5	1729	395	152224	0
stem-loop	Female infertility	0.149306	0.895838	0.742046	0.494603	1.112934	TRUE	24	1994	2796	175003	1
stem-loop (lower-MTR)	Spontaneous abortion	0.004009	0.024057	2.154209	1.277621	3.632787	TRUE	15	1172	1049	177581	1
stem-loop (lower-MTR)	Male infertility	0.368522	1	0.406164	0.056983	2.895043	TRUE	1	945	399	153008	0
stem-loop (lower-MTR)	Female infertility	0.829598	1	0.94981	0.594521	1.517403	TRUE	18	1169	2802	175828	1
stem-loop (higher-MTR)	Spontaneous abortion	0.826584	1	1.095268	0.485294	2.471932	TRUE	6	825	1058	177928	1
stem-loop (higher-MTR)	Male infertility	0.180107	1	1.965606	0.731982	5.28039	TRUE	4	784	396	153169	0
stem-loop (higher-MTR)	Female infertility	0.051966	0.311799	0.449931	0.201091	1.007025	TRUE	6	825	2814	176172	1
hde	Spontaneous abortion	0.499698	1	0.82044	0.461626	1.457904	TRUE	12	2523	1052	176230	1
hde	Male infertility	0.084838	0.509025	1.739301	0.926816	3.264152	TRUE	10	2225	390	151728	0
hde	Female infertility	0.865503	1	0.972401	0.70328	1.34447	TRUE	38	2497	2782	174500	1
hde (lower-MTR)	Spontaneous abortion	0.06573	0.394383	0.270689	0.067273	1.088717	TRUE	2	1236	1062	177517	1
hde (lower-MTR)	Male infertility	0.438689	1	1.47721	0.550461	3.96696	TRUE	4	1055	396	152898	0
hde (lower-MTR)	Female infertility	0.112969	0.677815	0.630019	0.355938	1.115162	TRUE	12	1226	2808	175771	1
hde (higher-MTR)	Spontaneous abortion	0.312741	1	1.385804	0.735651	2.611696	TRUE	10	1287	1054	177466	1
hde (higher-MTR)	Male infertility	0.10469	0.628139	1.953862	0.870228	4.388555	TRUE	6	1170	394	152783	0
hde (higher-MTR)	Female infertility	0.191298	1	1.298982	0.877218	1.923218	TRUE	26	1271	2794	175726	1
