GenePair	ka	ks	kaks	ssite	nsite	scount	ncount	Human	Other	species	GeneType	similarity
ENSG00000184270-ENSMMUG00000061036	0.0	0.0835642	-0.0	90.0781	299.922	7.0	0.0	ENSG00000184270	ENSMMUG00000061036	monkey	RDHGs	1.0
ENSG00000203814-ENSMMUG00000040506	0.0	0.110675	-0.0	48.5925	329.408	5.0	0.0	ENSG00000203814	ENSMMUG00000040506	monkey	RDHGs	0.9402985074626866
ENSG00000274997-ENSMMUG00000061750	0.0	0.206625	-0.0	98.7328	285.267	17.0	0.0	ENSG00000274997	ENSMMUG00000061750	monkey	RDHGs	1.0
ENSG00000276180-ENSMMUG00000057258	0.0	0.378473	-0.0	54.8132	254.187	15.0	0.0	ENSG00000276180	ENSMMUG00000057258	monkey	RDHGs	1.0
ENSG00000168148-ENSMMUG00000055227	0.00598332	0.219474	0.0272621	72.4025	335.598	13.0	2.0	ENSG00000168148	ENSMMUG00000055227	monkey	RDHGs	0.9852941176470589
ENSG00000270882-ENSMMUG00000052382	0.0	0.0888035	-0.0	72.9632	236.037	6.0	0.0	ENSG00000270882	ENSMMUG00000052382	monkey	RDHGs	1.0
ENSG00000158373-ENSMMUG00000041727	0.0	0.214052	-0.0	49.6976	328.302	9.0	0.0	ENSG00000158373	ENSMMUG00000041727	monkey	RDHGs	1.0
ENSG00000275379-ENSMMUG00000058664	0.0	0.166356	-0.0	98.0154	309.985	14.0	0.0	ENSG00000275379	ENSMMUG00000058664	monkey	RDHGs	1.0
ENSG00000273542-ENSMMUG00000063127	0.0	0.386282	-0.0	60.7607	248.239	17.0	0.0	ENSG00000273542	ENSMMUG00000063127	monkey	RDHGs	1.0
ENSG00000187837-ENSMMUG00000052921	0.0194792	0.209903	0.0928007	168.275	416.725	30.0	8.0	ENSG00000187837	ENSMMUG00000052921	monkey	RDHGs	0.8779342723004695
ENSG00000184357-ENSMMUG00000001442	0.00424214	0.0937086	0.0452695	205.083	472.917	18.0	2.0	ENSG00000184357	ENSMMUG00000001442	monkey	RDHGs	0.9911504424778761
ENSG00000197238-ENSMMUG00000055773	0.0	0.384964	-0.0	61.6423	247.358	17.0	0.0	ENSG00000197238	ENSMMUG00000055773	monkey	RDHGs	1.0
ENSG00000277224-ENSMMUG00000052621	0.0	0.39848	-0.0	72.277	305.723	21.0	0.0	ENSG00000277224	ENSMMUG00000052621	monkey	RDHGs	1.0
ENSG00000274750-ENSMMUG00000055425	0.0	0.293849	-0.0	97.9136	310.086	23.0	0.0	ENSG00000274750	ENSMMUG00000055425	monkey	RDHGs	1.0
ENSG00000276368-ENSMMUG00000052150	0.0	0.200823	-0.0	81.9141	302.086	14.0	0.0	ENSG00000276368	ENSMMUG00000052150	monkey	RDHGs	1.0
ENSG00000274618-ENSMMUG00000060751	0.0	0.312987	-0.0	79.9225	229.077	20.0	0.0	ENSG00000274618	ENSMMUG00000060751	monkey	RDHGs	1.0
ENSG00000276903-ENSMMUG00000062046	0.00323153	0.366408	0.00881949	79.8823	310.118	22.0	1.0	ENSG00000276903	ENSMMUG00000062046	monkey	RDHGs	0.9923076923076923
ENSG00000275126-ENSMMUG00000050895	0.0	0.184063	-0.0	88.4053	220.595	14.0	0.0	ENSG00000275126	ENSMMUG00000050895	monkey	RDHGs	1.0
ENSG00000180573-ENSMMUG00000060294	0.0	0.221556	-0.0	98.0663	291.934	18.0	0.0	ENSG00000180573	ENSMMUG00000060294	monkey	RDHGs	1.0
ENSG00000275713-ENSMMUG00000045038	0.00321546	0.516198	0.00622912	66.3353	311.665	23.0	1.0	ENSG00000275713	ENSMMUG00000045038	monkey	RDHGs	0.9920634920634921
ENSG00000197837-ENSMMUG00000032119	0.0	0.130556	-0.0	76.1595	232.841	9.0	0.0	ENSG00000197837	ENSMMUG00000032119	monkey	RDHGs	1.0
