gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv	non_nsite	mis_nsite	ssite
KDM5B	2	28	16	4	20	11.19032807	65.78075173	65.78075173	35.99953405	0.0	0.0	0.0	6.25e-10	0.0	0.0	0.0	3.92e-06	0.0	0.0	1.2171363700000037e-05	0.00012392644819999988	4.504989819999953e-05
PTPN11	0	75	0	0	0	45.31690816	0.0	0.0	0.0	0.0	0.570706857	0.0	1.0	0.0	0.942412671	0.0	1.0	0.0	0.0	2.0583873000000027e-06	3.16912834000001e-05	1.3310486199999985e-05
NF1	9	82	20	10	27	4.130227275	17.4804169	17.4804169	30.87861329	1.11e-15	0.0	0.0	5.73e-10	6.96e-12	0.0	0.0	3.92e-06	0.0	0.0	1.905587569999998e-05	0.000299535549599998	0.00010708067500000065
SMAD6	0	11	7	1	10	12.96884288	255.6636961	255.6636961	66.93024749	6.25e-09	0.0	0.0	9.58e-10	1.68e-05	0.0	0.0	4.51e-06	0.0	0.0	1.872259699999999e-06	4.9700202699999826e-05	2.4967600000000008e-05
CUL3	1	18	16	3	23	3.231238625	38.3750133	38.3750133	74.39828101	0.000153	0.0	0.0	1.6e-15	0.137332418	0.0	0.0	3.01e-11	0.0	0.0	5.191459000000015e-06	8.488267239999893e-05	2.896723700000012e-05
MIB1	1	8	20	2	12	5.652068893	130.0981306	130.0981306	37.96244878	0.000229	0.0	0.0	2.5e-08	0.195662076	0.0	0.0	9.42e-05	0.0	0.0	2.441970299999999e-06	2.78554603000001e-05	9.265682499999989e-06
RASA2	0	10	11	7	10	2.571210856	31.79499527	31.79499527	36.19210887	0.015498566	0.0	0.0	1.65e-07	0.813667722	0.0	0.0	0.000443	0.0	0.0	3.1313895e-06	4.3406461600000015e-05	1.591625149999998e-05
PRRC2A	4	18	11	3	16	2.359682323	19.63163651	19.63163651	26.62623118	0.00414	3e-13	3.05e-13	1e-07	0.813667722	8.07e-10	7.16e-10	0.000314	0.0	0.0	8.723565199999978e-06	0.00014788112739999853	5.136148039999951e-05
PTEN	0	16	4	1	4	7.463858169	20.17747479	20.17747479	29.72225446	1.18e-08	7.72e-06	1.37e-11	0.00018	2.47e-05	0.012103828	2.87e-08	0.24210326	8.55e-14	1.79e-10	7.498560000000005e-07	1.0544791900000011e-05	3.757928700000001e-06
RIT1	1	20	0	0	1	8.743492071	0.0	0.0	14.07421859	2.04e-11	0.464	1.2e-10	0.0665	9.58e-08	0.942	2.25e-07	1.0	2.11e-10	3.98e-07	1.7610554000000008e-06	2.026269170000004e-05	5.3443992000000064e-06
ROBO1	3	11	5	2	6	3.340822005	20.36302436	20.36302436	11.20819754	0.00164	1.27e-07	1.52e-08	0.001606009	0.791	0.000239	2.2e-05	1.0	6.21e-10	1.06e-06	1.554532199999999e-05	0.00019307910640000187	7.368752200000018e-05
DDX3X	0	12	5	2	4	2.676713722	21.20880442	21.20880442	17.04833525	0.00652	9.95e-08	4.2e-08	0.001202586	0.814	0.000208	5.27e-05	0.870394935	1.25e-09	1.96e-06			
