gene,gnomAD_syn_<1e-5,gnomAD_syn_1e-5~1e-4,gnomAD_syn_1e-4~1e-3,gnomAD_syn_1e-3~1e-2,gnomAD_syn_1e-2<,gnomAD_mis_<1e-5,gnomAD_mis_1e-5~1e-4,gnomAD_mis_1e-4~1e-3,gnomAD_mis_1e-3~1e-2,gnomAD_mis_1e-2<,gnomAD_stopgain_<1e-5,gnomAD_stopgain_1e-5~1e-4,gnomAD_stopgain_1e-4~1e-3,gnomAD_stopgain_1e-3~1e-2,gnomAD_stopgain_1e-2<,RGC-ME_syn_<1e-5,RGC-ME_syn_1e-5~1e-4,RGC-ME_syn_1e-4~1e-3,RGC-ME_syn_1e-3~1e-2,RGC-ME_syn_1e-2<,RGC-ME_mis_<1e-5,RGC-ME_mis_1e-5~1e-4,RGC-ME_mis_1e-4~1e-3,RGC-ME_mis_1e-3~1e-2,RGC-ME_mis_1e-2<,RGC-ME_stopgain_<1e-5,RGC-ME_stopgain_1e-5~1e-4,RGC-ME_stopgain_1e-4~1e-3,RGC-ME_stopgain_1e-3~1e-2,RGC-ME_stopgain_1e-2<,non_nsite,mis_nsite,ssite,is_cRDHGs
GJB4,23,37,7,8,2,61,75,17,2,4,4,3,0,2,0,108,34,9,7,0,283,74,12,3,4,14,1,1,2,0,2.652598e-07,1.0907503600000005e-05,5.195317000000008e-06,False
SPOPL,23,22,2,2,1,77,46,5,1,0,3,1,0,0,0,121,13,2,1,1,370,34,4,1,0,12,1,0,0,0,1.1115651e-06,1.0387430000000002e-05,3.2340633999999952e-06,False
NUP50,35,24,8,2,1,76,48,8,0,0,2,0,0,0,0,126,18,5,1,1,297,39,6,0,0,3,0,0,0,0,2.723203999999999e-07,1.0273665100000007e-05,4.1702753e-06,False
RPE,21,11,1,0,0,53,23,2,0,0,3,1,0,0,0,70,9,1,0,0,188,21,3,0,0,6,0,1,0,0,2.6678170000000004e-07,6.3239118999999976e-06,2.179687500000001e-06,False
DUOXA1,34,19,3,1,0,72,47,8,4,1,4,1,0,0,0,125,20,5,1,0,302,40,9,3,0,18,0,0,0,0,2.877441e-07,9.809874999999989e-06,4.520918899999996e-06,False
ATP6V0D1,36,33,4,0,0,50,33,1,0,0,2,0,0,0,0,131,35,1,0,0,242,11,1,0,0,8,0,0,0,0,3.660560999999998e-07,1.276749479999999e-05,5.968007999999999e-06,False
MECOM,88,97,11,8,4,232,145,19,4,1,2,0,0,0,0,428,60,11,5,4,1060,107,20,2,1,1,0,0,0,0,1.5127480999999995e-06,3.352795849999985e-05,1.3955155500000005e-05,False
OTOG,331,276,66,14,13,745,603,114,37,22,31,17,1,0,0,1208,244,50,11,10,2961,491,112,26,17,148,14,2,0,0,3.908743600000005e-06,0.0001017549067999,4.651786789999982e-05,False
C10orf120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,18,4,0,2,345,53,6,2,3,17,4,1,0,0,8.281624e-07,9.884646900000004e-06,3.273804700000001e-06,False
CCER1,43,30,3,1,1,96,66,3,1,2,5,2,0,0,0,186,17,2,3,0,402,37,3,1,0,26,1,0,0,0,6.851781999999998e-07,1.0866875300000007e-05,4.674258200000006e-06,False
