gene	sperm_syn	sperm_mis	sperm_stopgain	is_cRDHGs	is_DD	is_ASD	is_OG	non_nsite	mis_nsite	ssite
PWP2	4	2	0	False	False	False	True			
TXNIP	0	3	0	False	False	False	True	9.138366999999996e-07	1.1206351000000006e-05	3.908115500000001e-06
OPLAH	0	4	0	False	False	False	True	1.4419382000000004e-06	5.219884409999983e-05	2.479144459999995e-05
BDH1	0	1	0	False	False	False	True			
ARMC7	0	0	0	False	False	False	True	1.7146309999999997e-07	7.317156300000006e-06	3.455756099999999e-06
PTTG2	0	0	0	False	False	False	True	2.6128359999999984e-07	5.243671899999991e-06	2.005918500000001e-06
ERCC1	0	0	0	False	False	False	True	3.425215e-07	9.688943499999999e-06	4.746990100000004e-06
LGALS4	0	1	0	False	False	False	True	3.904258000000001e-07	1.1190758899999998e-05	5.606302999999997e-06
PAIP2	0	1	0	False	False	False	True	2.4964249999999997e-07	3.2810461999999978e-06	1.0148742000000004e-06
C11orf97	0	0	0	False	False	False	True	1.4665339999999998e-07	3.4748070999999984e-06	1.5858760000000001e-06
CHERP	0	4	0	False	False	False	True	1.5012063000000003e-06	3.379960959999988e-05	1.6035206599999984e-05
BMP2	1	0	0	False	False	False	True	6.618857000000004e-07	1.298809100000001e-05	5.6907662999999966e-06
FOXI3	0	0	0	False	False	False	True	5.338485e-07	1.2927277599999975e-05	6.186380599999991e-06
BCL11A	0	0	0	False	True	False	False	7.438795000000001e-07	2.489862000000002e-05	1.1572465899999983e-05
SLC2A5	0	1	0	False	False	False	True	4.5659830000000024e-07	1.6807244199999997e-05	9.403150099999991e-06
MKRN2	0	1	0	False	False	False	True	5.817426e-07	1.2996503399999998e-05	5.386569400000003e-06
ARL13B	0	1	0	False	False	False	True	9.611600999999997e-07	1.1405290499999973e-05	3.7643438999999997e-06
ADAMTS15	1	2	0	False	False	False	True	1.2735971999999998e-06	3.3434116299999964e-05	1.5670874800000035e-05
CDC42SE2	0	0	0	False	False	False	True	2.2089949999999999e-07	2.660460099999999e-06	8.350186e-07
PCDHA6	1	2	0	False	False	False	True	9.071236999999996e-07	2.5554271799999987e-05	1.2246718999999986e-05
STAT2	0	2	1	False	False	False	True	1.7209521999999995e-06	2.2565524700000013e-05	9.0407488e-06
ARHGDIG	1	1	0	False	False	False	True	2.136884e-07	8.263152700000016e-06	4.425991300000003e-06
MAP3K10	0	1	0	False	False	False	True	8.782560999999998e-07	3.2610065900000003e-05	1.4795790900000002e-05
GOLGA8H	0	0	0	False	False	False	True	9.978e-09	4.6953e-08	1.8678999999999998e-08
NCAPD2	2	2	0	False	False	False	True	2.5953015999999994e-06	4.147710470000007e-05	1.4121405299999973e-05
PRB2	0	0	0	False	False	False	True	3.9543700000000004e-08	9.1245e-07	2.873599e-07
IWS1	0	1	0	False	False	False	True	1.6559123999999996e-06	2.3754969600000014e-05	8.834969099999996e-06
GNAT3	0	0	0	False	False	False	True	7.105724999999997e-07	8.371042000000002e-06	3.2561122000000007e-06
ZBTB42	0	2	0	False	False	False	True	5.404605e-07	1.3762354499999966e-05	6.305871899999996e-06
MYO18B	1	4	0	False	False	False	True	4.176908300000001e-06	8.368480940000021e-05	3.4758921200000045e-05
MSH4	0	1	0	False	False	False	True	1.7032000999999994e-06	2.2056551399999977e-05	8.103047100000005e-06
CAMK2N1	0	0	0	False	False	False	True	8.433310000000001e-08	2.3192357999999983e-06	1.0593686999999997e-06
LAYN	0	0	0	False	False	False	True	6.428368000000001e-07	1.0511332400000028e-05	4.309401499999999e-06
CDK14	0	0	0	False	False	False	True	6.861647e-07	1.2677121700000042e-05	4.985380300000003e-06
UROC1	0	0	0	False	False	False	True	7.977544000000002e-07	2.521646100000004e-05	1.1588786800000013e-05
MYF6	0	0	0	False	False	False	True	2.7795170000000005e-07	6.407577899999992e-06	2.6490342000000016e-06
STK24	0	1	0	False	False	False	True	6.431159999999996e-07	1.2823934099999996e-05	6.6610545000000036e-06
SMOC1	1	2	0	False	False	False	True	7.037164000000002e-07	1.4589566400000026e-05	6.208786200000002e-06
PAPOLA	0	0	0	False	False	False	True	1.1917514000000007e-06	1.882808580000001e-05	7.04556390000001e-06
ZNF589	0	1	0	False	False	False	True	9.318395999999998e-07	9.249540100000011e-06	3.768794699999997e-06
CLSTN2	0	3	0	False	False	False	True	1.110364100000001e-06	3.120360040000002e-05	1.3776727399999993e-05
MUC3A	5	3	1	False	False	False	True			
TLR9	2	2	0	False	False	False	True	1.2939492999999997e-06	3.7056581199999856e-05	1.6279354899999974e-05
OR10H5	0	1	0	False	False	False	True	1.5148070000000003e-07	8.418286199999999e-06	4.176756500000003e-06
TNRC6B	11	14	2	False	False	False	True	3.776746699999999e-06	5.558466630000009e-05	2.385169400000007e-05
BACE1	0	1	0	False	False	False	True	6.889004999999997e-07	1.670373890000004e-05	6.9451618000000054e-06
CDK2AP1	0	1	0	False	False	False	True	1.148764e-07	4.301880900000004e-06	2.109363800000001e-06
C1orf54	0	0	0	False	False	False	True	1.9942570000000003e-07	3.451065299999998e-06	1.4952010000000006e-06
DBH	1	2	0	False	False	False	True	8.289598000000003e-07	2.3297645399999927e-05	1.1961796900000029e-05
